month,month_name,channel,total_interactions,avg_handle_time_minutes,resolution_rate,customer_satisfaction_score,total_cost,cost_per_interaction
2025-01-01,January 2025,Phone,4752,14.5,0.8982,4.85,11880.0,2.5
2025-01-01,January 2025,Email,1678,9.72,0.9006,4.64,1678.0,1.0
2025-01-01,January 2025,Chat,2067,11.28,0.7897,4.02,1550.25,0.75
2025-01-01,January 2025,WhatsApp,1200,8.8,0.8624,3.86,600.0,0.5
2025-02-01,February 2025,Phone,3976,16.43,0.8286,3.72,9940.0,2.5
2025-02-01,February 2025,Email,1685,12.08,0.7757,3.95,1685.0,1.0
2025-02-01,February 2025,Chat,2314,8.05,0.8673,3.99,1735.5,0.75
2025-02-01,February 2025,WhatsApp,1524,9.63,0.8626,3.78,762.0,0.5
2025-03-01,March 2025,Phone,4109,16.27,0.783,3.75,10272.5,2.5
2025-03-01,March 2025,Email,1638,11.36,0.9196,3.48,1638.0,1.0
2025-03-01,March 2025,Chat,2272,8.98,0.8371,4.74,1704.0,0.75
2025-03-01,March 2025,WhatsApp,825,7.46,0.7279,4.7,412.5,0.5
2025-04-01,April 2025,Phone,4760,14.04,0.9001,4.13,11900.0,2.5
2025-04-01,April 2025,Email,1230,8.96,0.7855,4.06,1230.0,1.0
2025-04-01,April 2025,Chat,1647,11.46,0.7713,4.45,1235.25,0.75
2025-04-01,April 2025,WhatsApp,949,5.58,0.8813,3.61,474.5,0.5
2025-05-01,May 2025,Phone,3513,17.32,0.8716,4.42,8782.5,2.5
2025-05-01,May 2025,Email,1323,11.88,0.9047,4.48,1323.0,1.0
2025-05-01,May 2025,Chat,1865,10.22,0.7449,4.8,1398.75,0.75
2025-05-01,May 2025,WhatsApp,1169,7.83,0.9112,4.82,584.5,0.5
2025-06-01,June 2025,Phone,4918,12.54,0.729,4.1,12295.0,2.5
2025-06-01,June 2025,Email,1495,12.04,0.8648,4.1,1495.0,1.0
2025-06-01,June 2025,Chat,1876,8.31,0.7835,4.11,1407.0,0.75
2025-06-01,June 2025,WhatsApp,972,5.49,0.8806,4.37,486.0,0.5
2025-07-01,July 2025,Phone,4374,12.44,0.7516,4.49,10935.0,2.5
2025-07-01,July 2025,Email,1483,14.66,0.6855,3.54,1483.0,1.0
2025-07-01,July 2025,Chat,2206,8.59,0.764,4.14,1654.5,0.75
2025-07-01,July 2025,WhatsApp,1030,8.43,0.828,3.46,515.0,0.5
2025-08-01,August 2025,Phone,4466,15.68,0.8174,4.51,11165.0,2.5
2025-08-01,August 2025,Email,1819,11.04,0.6844,4.0,1819.0,1.0
2025-08-01,August 2025,Chat,1726,6.19,0.7713,4.02,1294.5,0.75
2025-08-01,August 2025,WhatsApp,1071,5.4,0.7181,3.46,535.5,0.5
2025-09-01,September 2025,Phone,4414,13.65,0.9167,4.63,11035.0,2.5
2025-09-01,September 2025,Email,1507,9.01,0.7816,4.84,1507.0,1.0
2025-09-01,September 2025,Chat,2390,7.33,0.8358,4.77,1792.5,0.75
2025-09-01,September 2025,WhatsApp,1423,5.69,0.7102,3.48,711.5,0.5
2025-10-01,October 2025,Phone,3589,14.63,0.6952,4.3,8972.5,2.5
2025-10-01,October 2025,Email,1422,14.53,0.8849,3.79,1422.0,1.0
2025-10-01,October 2025,Chat,2314,7.35,0.7832,4.9,1735.5,0.75
2025-10-01,October 2025,WhatsApp,1267,6.0,0.7571,4.71,633.5,0.5
2025-11-01,November 2025,Phone,3627,16.14,0.7657,3.44,9067.5,2.5
2025-11-01,November 2025,Email,1415,9.46,0.8456,4.72,1415.0,1.0
2025-11-01,November 2025,Chat,1785,8.97,0.8702,3.8,1338.75,0.75
2025-11-01,November 2025,WhatsApp,1071,8.25,0.7696,3.74,535.5,0.5
2025-12-01,December 2025,Phone,3502,14.42,0.9166,4.2,8755.0,2.5
2025-12-01,December 2025,Email,1528,10.33,0.8751,4.6,1528.0,1.0
2025-12-01,December 2025,Chat,2144,7.76,0.7111,3.57,1608.0,0.75
2025-12-01,December 2025,WhatsApp,1235,5.23,0.8244,4.04,617.5,0.5
